tweet_id,text,favorite_count,retweet_count,created_at
892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,37588,8198,Tue Aug 01 16:23:56 +0000 2017
892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boop… https://t.co/aQFSeaCu9L",32306,6060,Tue Aug 01 00:17:27 +0000 2017
891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.… https://t.co/r0YlrsGCgy,24348,4009,Mon Jul 31 00:18:03 +0000 2017
891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,40932,8357,Sun Jul 30 15:58:51 +0000 2017
891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected a… https://t.co/0g0KMIVXZ3",39127,9050,Sat Jul 29 16:00:24 +0000 2017
891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG:… https://t.co/xx5cilW0Dd,19681,3005,Sat Jul 29 00:08:17 +0000 2017
890971913173991426,Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below… https://t.co/MV01Q820LT,11503,1985,Fri Jul 28 16:27:12 +0000 2017
890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13… https://t.co/hrcFOGi12V,63431,18212,Fri Jul 28 00:22:40 +0000 2017
890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10… https://t.co/UkrdQyoYxV,27059,4122,Thu Jul 27 16:25:51 +0000 2017
890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant… https://t.co/l3TSS3o2M0,31004,7120,Wed Jul 26 15:59:51 +0000 2017
890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a pe… https://t.co/jy2alqaYPH,29817,7078,Wed Jul 26 00:31:25 +0000 2017
889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,27032,4810,Tue Jul 25 16:11:53 +0000 2017
889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,46748,9693,Tue Jul 25 01:55:32 +0000 2017
889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,26357,4377,Tue Jul 25 00:10:02 +0000 2017
889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo… https://t.co/Ya3bdfYuCx,14698,2173,Mon Jul 24 17:02:04 +0000 2017
889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*cki… https://t.co/qw5xRwBaIv,24543,5197,Mon Jul 24 00:19:32 +0000 2017
888917238123831296,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,28317,4348,Sun Jul 23 00:22:39 +0000 2017
